id,nome,dosagem,apresentacao,position,photo_path
17292,ACETAZOLAMIDA 250 MG 1 CP,250 mg,1 cp,dummie,void
17293,ACICLOVIR 200 MG 1 CP,200 mg,1 cp,dummie,void
17294,ACIDO ACETILSALICILICO 100 MG 1 CP,100 mg,1 cp,dummie,void
17295,ACIDO ACETILSALICILICO 100 MG 2 CP,100 mg,2 cp,dummie,void
17296,ACIDO ACETILSALICILICO 100 MG 3 CP,100 mg,3 cp,dummie,void
17297,ACIDO ASCORBICO 500 MG 1 CP,500 mg,1 cp,dummie,void
17298,ACIDO FOLICO 5 MG 1 CP,5 mg,1 cp,dummie,void
21393,ALBENDAZOL 400 MG 1 CP,400 mg,1 cp,dummie,void
17301,ALOPURINOL 100 MG 1 CP,100 mg,1 cp,dummie,void
17302,AMIODARONA 200 MG 1 CP,200 mg,1 cp,dummie,void
17303,AMOXICILINA 500 MG 1 CP,500 mg,1 cp,dummie,void
17304,AMPICILINA 500 MG 1 CP,500 mg,1 cp,dummie,void
17306,ANLODIPINO 10 MG 1 CP,10 mg,1 cp,dummie,void
17307,ANLODIPINO 5 MG 1 CP,5 mg,1 cp,dummie,void
17308,ATENOLOL 25 MG 1 CP,25 mg,1 cp,dummie,void
17309,ATENOLOL 50 MG 1 CP,50 mg,1 cp,dummie,void
17310,ATENOLOL 50 MG 2 CP,50 mg,2 cp,dummie,void
20336,ATORVASTATINA 20 MG 1 CP,20 mg,1 cp,dummie,void
20479,ATORVASTATINA 20 MG 2 CP,20 mg,2 cp,dummie,void
18762,AZITROMICINA 500 MG 1 CP,500 mg,1 cp,dummie,void
19675,AZITROMICINA 500 MG 3 CP,500 mg,3 cp,dummie,void
17311,BACLOFENO 10 MG 1 CP,10 mg,1 cp,dummie,void
17312,BISACODIL 5 MG 1 CP,5 mg,1 cp,dummie,void
26482,BUDESONIDA 200 MCG 1 CAPS INALATORIA,200 mcg,1 caps inalatoria,dummie,void
27147,BUDESONIDA 200 MCG 2 CAPS INALATORIA,200 mcg,2 caps inalatoria,dummie,void
17315,"CABERGOLINA 0,5 MG 2 CP","0,5 mg",2 cp,dummie,void
17317,"CAPTOPRIL 12,5 MG 0,5 CP","12,5 mg",5 cp,dummie,void
17316,"CAPTOPRIL 12,5 MG 1 CP","12,5 mg",1 cp,dummie,void
29111,"CAPTOPRIL 25MG 0,5 CP",25mg,5 cp,dummie,void
29112,CAPTOPRIL 25 MG 1/4 CP,25 mg,4 cp,dummie,void
17318,CAPTOPRIL 25 MG 1 CP,25 mg,1 cp,dummie,void
17319,CAPTOPRIL 25 MG 2 CP,25 mg,2 cp,dummie,void
17469,CARBONATO DE CALCIO CAPSULA 500 MG 1 CP,500 mg,1 cp,dummie,void
17321,"CARVEDILOL 12,5 MG 1 CP","12,5 mg",1 cp,dummie,void
17322,"CARVEDILOL 3,125 MG 1 CP","3,125 mg",1 cp,dummie,void
17323,"CARVEDILOL 3,125 MG 2 CP","3,125 mg",2 cp,dummie,void
17324,CEFALEXINA 500 MG 1 CP,500 mg,1 cp,dummie,void
17325,CETOROLACO 10 MG 1 CP,10 mg,1 cp,dummie,void
19759,CIPROFIBRATO 100 MG 1 CP,100 mg,1 cp,dummie,void
17326,CIPROFLOXACINO 250 MG 1 CP,250 mg,1 cp,dummie,void
17327,CIPROFLOXACINO 250 MG 2 CP,250 mg,2 cp,dummie,void
26023,CIPROFLOXACINO 500 MG 1 CP,500 mg,1 cp,dummie,void
17329,"CLARITROMICINA 500 MG 0,5 CP",500 mg,5 cp,dummie,void
17328,CLARITROMICINA 500 MG 1 CP,500 mg,1 cp,dummie,void
17330,CLINDAMICINA 300 MG 1 CP,300 mg,1 cp,dummie,void
17331,CLINDAMICINA 300 MG 2 CP,300 mg,2 cp,dummie,void
26886,"CLONIDINA 0,10 MG 1CP","0,10 mg",1cp,dummie,void
17335,CLOPIDOGREL 75 MG 1 CP,75 mg,1 cp,dummie,void
17337,CLORETO DE POTASSIO 600 MG 1 CP,600 mg,1 cp,dummie,void
17338,CLORPROPAMIDA 250 MG 1 CP,250 mg,1 cp,dummie,void
17339,CLORTALIDONA 25 MG 1 CP,25 mg,1 cp,dummie,void
17342,"COLCHICINA 0,5 MG 1 CP","0,5 mg",1 cp,dummie,void
17343,COMPLEXO B 1 CP,1 cp,1 cp,dummie,void
17344,DESLORATADINA 5 MG 1 CP,5 mg,1 cp,dummie,void
28634,"DEXAMETASONA 4MG 0,5 CP",4mg,5 cp,dummie,void
17345,DEXAMETASONA 4 MG 1 CP,4 mg,1 cp,dummie,void
17349,DICLOFENACO SODICO 50 MG 1 CP,50 mg,1 cp,dummie,void
17351,"DIGOXINA 0,25 MG 1 CP","0,25 mg",1 cp,dummie,void
17352,DILTIAZEM 30 MG 1 CP,30 mg,1 cp,dummie,void
17353,DILTIAZEM 30 MG 2 CP,30 mg,2 cp,dummie,void
17354,DIMETICONA 40 MG 1 CP,40 mg,1 cp,dummie,void
17355,DIPIRONA +ADIFENINA+PROMETAZINA (500+10+5) MG 1 CP,500+10+5 mg,1 cp,dummie,void
17356,DIPIRONA SODICA 500 MG 1 CP,500 mg,1 cp,dummie,void
17357,DIPIRONA SODICA 500 MG 2 CP,500 mg,2 cp,dummie,void
19804,DOMPERIDONA 10MG 1CP,10mg,1cp,dummie,void
17358,DOXAZOSINA 2 MG 1 CP,2 mg,1 cp,dummie,void
27985,DOXICICLINA 100 MG 1CP,100 mg,1cp,dummie,void
17359,ENALAPRIL 5 MG 1 CP,5 mg,1 cp,dummie,void
17360,ENALAPRIL 5 MG 2 CP,5 mg,2 cp,dummie,void
17361,ENALAPRIL 5 MG 4 CP,5 mg,4 cp,dummie,void
20395,"ERGOMETRINA 0,2 MG 1 CP","0,2 mg",1 cp,dummie,void
17363,ESCOPOLAMINA 10 MG 1 CP,10 mg,1 cp,dummie,void
17362,ESCOPOLAMINA +DIPIRONA DRAGEA (10+250) MG 1 CP,10+250 mg,1 cp,dummie,void
28638,ESOMEPRAZOL MAGNESICO 20 MG 1 CP,20 mg,1 cp,dummie,void
17364,ESPIRONOLACTONA 100 MG 1 CP,100 mg,1 cp,dummie,void
17365,ESPIRONOLACTONA 25 MG 1 CP,25 mg,1 cp,dummie,void
17366,ESPIRONOLACTONA 25 MG 2 CP,25 mg,2 cp,dummie,void
17369,FLUCONAZOL 100 MG 1 CP,100 mg,1 cp,dummie,void
20473,FLUCONAZOL 150 MG 1 CP,150 mg,1 cp,dummie,void
17372,FOLINATO CALCICO 15 MG 1 CP,15 mg,1 cp,dummie,void
26548,FOLINATO CALCICO MANIPULADO 15 MG 1 CP,15 mg,1 cp,dummie,void
26483,FORMOTEROL 12 MCG 1 CAPS INALATORIA,12 mcg 1 caps,1 caps inalatoria,dummie,void
17374,"FUROSEMIDA 40 MG 0,5 CP",40 mg,5 cp,dummie,void
17373,FUROSEMIDA 40 MG 1 CP,40 mg,1 cp,dummie,void
17375,FUROSEMIDA 40 MG 2 CP,40 mg,2 cp,dummie,void
17378,"GLIBENCLAMIDA 5 MG 0,5 CP",5 mg,5 cp,dummie,void
17377,GLIBENCLAMIDA 5 MG 1 CP,5 mg,1 cp,dummie,void
17380,HIDRALAZINA 25 MG 1 CP,25 mg,1 cp,dummie,void
17381,HIDRALAZINA 25 MG 2 CP,25 mg,2 cp,dummie,void
17382,HIDRALAZINA 25 MG 4 CP,25 mg,4 cp,dummie,void
19946,HIDRALAZINA 50MG 1 CP,50mg,1 cp,dummie,void
19990,HIDRALAZINA 50 MG 2 CP,50 mg,2 cp,dummie,void
17383,HIDROCLOROTIAZIDA 25 MG 1 CP,25 mg,1 cp,dummie,void
18534,HIDROCLOROTIAZIDA 25 MG 2 CP,25 mg,2 cp,dummie,void
17384,HIDROCLOROTIAZIDA 50 MG 1 CP,50 mg,1 cp,dummie,void
