id,nome,dosagem,apresentacao,position
17292,ACETAZOLAMIDA 250 MG 1 CP,250 mg,1 cp,dummie
17293,ACICLOVIR 200 MG 1 CP,200 mg,1 cp,dummie
17296,ACIDO ACETILSALICILICO 100 MG 3 CP,100 mg,3 cp,dummie
17297,ACIDO ASCORBICO 500 MG 1 CP,500 mg,1 cp,dummie
17298,ACIDO FOLICO 5 MG 1 CP,5 mg,1 cp,dummie
21393,ALBENDAZOL 400 MG 1 CP,400 mg,1 cp,dummie
17301,ALOPURINOL 100 MG 1 CP,100 mg,1 cp,dummie
17302,AMIODARONA 200 MG 1 CP,200 mg,1 cp,dummie
17303,AMOXICILINA 500 MG 1 CP,500 mg,1 cp,dummie
17304,AMPICILINA 500 MG 1 CP,500 mg,1 cp,dummie
17306,ANLODIPINO 10 MG 1 CP,10 mg,1 cp,dummie
17307,ANLODIPINO 5 MG 1 CP,5 mg,1 cp,dummie
17308,ATENOLOL 25 MG 1 CP,25 mg,1 cp,dummie
17309,ATENOLOL 50 MG 1 CP,50 mg,1 cp,dummie
17310,ATENOLOL 50 MG 2 CP,50 mg,2 cp,dummie
20336,ATORVASTATINA 20 MG 1 CP,20 mg,1 cp,dummie
20479,ATORVASTATINA 20 MG 2 CP,20 mg,2 cp,dummie
18762,AZITROMICINA 500 MG 1 CP,500 mg,1 cp,dummie
19675,AZITROMICINA 500 MG 3 CP,500 mg,3 cp,dummie
17311,BACLOFENO 10 MG 1 CP,10 mg,1 cp,dummie
17312,BISACODIL 5 MG 1 CP,5 mg,1 cp,dummie
26482,BUDESONIDA 200 MCG 1 CAPS INALATORIA,200 mcg,1 caps inalatoria,dummie
27147,BUDESONIDA 200 MCG 2 CAPS INALATORIA,200 mcg,2 caps inalatoria,dummie
17315,"CABERGOLINA 0,5 MG 2 CP","0,5 mg",2 cp,dummie
17317,"CAPTOPRIL 12,5 MG 0,5 CP","12,5 mg",5 cp,dummie
17316,"CAPTOPRIL 12,5 MG 1 CP","12,5 mg",1 cp,dummie
29111,"CAPTOPRIL 25MG 0,5 CP",25mg,5 cp,dummie
29112,CAPTOPRIL 25 MG 1/4 CP,25 mg,4 cp,dummie
17318,CAPTOPRIL 25 MG 1 CP,25 mg,1 cp,dummie
17319,CAPTOPRIL 25 MG 2 CP,25 mg,2 cp,dummie
17469,CARBONATO DE CALCIO CAPSULA 500 MG 1 CP,500 mg,1 cp,dummie
17321,"CARVEDILOL 12,5 MG 1 CP","12,5 mg",1 cp,dummie
17322,"CARVEDILOL 3,125 MG 1 CP","3,125 mg",1 cp,dummie
17323,"CARVEDILOL 3,125 MG 2 CP","3,125 mg",2 cp,dummie
17324,CEFALEXINA 500 MG 1 CP,500 mg,1 cp,dummie
17325,CETOROLACO 10 MG 1 CP,10 mg,1 cp,dummie
19759,CIPROFIBRATO 100 MG 1 CP,100 mg,1 cp,dummie
17326,CIPROFLOXACINO 250 MG 1 CP,250 mg,1 cp,dummie
17327,CIPROFLOXACINO 250 MG 2 CP,250 mg,2 cp,dummie
26023,CIPROFLOXACINO 500 MG 1 CP,500 mg,1 cp,dummie
17329,"CLARITROMICINA 500 MG 0,5 CP",500 mg,5 cp,dummie
